MATCH ,TEAM,Auto Gear,Auto Fuel,Tele Gear,Tele Fuel,Climb,Extra
1,2501,0,0,2,0,0.5,did not press button
1,3610,0,0,0,0,0,did not attempt
1,3292,0,0,0,16,0,did not attempt
1,2227,0,0,2,0,1,climbed successfully
1,3633,0,0,3,0,1,climbed successfully
1,5278,0,0,1,0,0.5,did not press button
2,2883,1,0,3,0,1,climbed successfully
2,4239,1,0,2,0,1,climbed successfully
2,3277,1,0,0,8,1,climbed successfully
2,6480,1,0,2,0,0,did not attempt
2,2525,1,0,0,0,0,did not attempt
2,5826,1,0,2,0,1,climbed successfully
3,2450,0,0,1,0,0.5,did not press button
3,4225,0,0,0,0,0,did not attempt
3,2654,0,0,1,0,0,did not attempt
3,2225,0,0,0,0,0.5,did not press button
3,3848,0,0,1,0,1,climbed successfully
3,2129,0,0,2,0,0,did not attempt
4,2177,0,0,0,0,1,climbed successfully
4,4687,0,0,1,0,0,did not attempt
4,2957,0,0,2,0,1,climbed successfully
4,2667,0,0,1,0,1,climbed successfully
4,3926,0,0,1,0,1,climbed successfully
5,4663,0,0,3,0,1,climbed successfully
5,5541,0,0,3,0,1,climbed successfully
5,4632,0,0,1,0,0.5,did not press button
5,5801,0,0,5,0,1,climbed successfully
5,3206,0,0,3,0,1,climbed successfully
5,5275,0,0,0,0,0.5,did not press button
6,3042,0,0,2,2,0.5,did not press button
6,4277,0,0,1,0,0,did not attempt
6,4648,0,0,0,0,0,did not attempt
6,5290,0,0,1,0,1,climbed successfully
6,4215,0,0,2,0,0,did not attempt
6,2549,0,0,1,0,0.5,did not press button
7,4693,1,0,1,0,0,did not attempt
7,3691,1,0,1,0,1,climbed successfully
7,2606,1,0,2,0,1,climbed successfully
7,3130,1,0,1,2,1,climbed successfully
7,2574,1,0,2,0,1,climbed successfully
7,3883,1,0,1,0,0,did not attempt
8,1710,0,0,4,0,1,climbed successfully
8,5340,0,0,0,0,0,did not attempt
8,4665,0,0,2,0,1,climbed successfully
8,4778,0,0,0,0,0,
8,5464,0,0,4,0,0.5,did not press button
8,2472,0,0,0,0,0,did not attempt
9,1806,0,0,3,0,1,climbed successfully
9,2169,0,0,3,0,0.5,did not press button
9,5576,0,0,1,0,0,did not attempt
9,3018,0,0,0,0,0,did not attempt
9,4626,0,0,0,0,0,did not attempt
9,6749,0,0,1,0,0,did not attempt
10,3928,1,0,2,0,1,climbed successfully
